position;tag;feature;;data_type;category ;description
40;40-46†;Post Published Weekday 40;Post Published Weekday 40;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
41;40-46†;Post Published Weekday 41;Post Published Weekday 41;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
42;40-46†;Post Published Weekday 42;Post Published Weekday 42;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
43;40-46†;Post Published Weekday 43;Post Published Weekday 43;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
44;40-46†;Post Published Weekday 44;Post Published Weekday 44;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
45;40-46†;Post Published Weekday 45;Post Published Weekday 45;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
46;40-46†;Post Published Weekday 46;Post Published Weekday 46;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on which the post was published.†
47;47-53†;Base DateTime Weekday 47;Base DateTime Weekday 47;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
48;47-53†;Base DateTime Weekday 48;Base DateTime Weekday 48;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
49;47-53†;Base DateTime Weekday 49;Base DateTime Weekday 49;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
50;47-53†;Base DateTime Weekday 50;Base DateTime Weekday 50;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
51;47-53†;Base DateTime Weekday 51;Base DateTime Weekday 51;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
52;47-53†;Base DateTime Weekday 52;Base DateTime Weekday 52;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
53;47-53†;Base DateTime Weekday† 53;Base DateTime Weekday� 53;Binary Encoding†;Weekdays feature†;This represents the day(Sunday...Saturday) on selected base Date/Time.†
54;54†;Target Variable†;Target Variable;Decimal†;Target†;The no of comments in next H hrs(H is given in Feature no 39).
